HATE_SPEECH,COUNTER_NARRATIVE,TARGET
"We do not want migrants here but if they have to work, why should we pay for their homes?",Why shouldn't we welcome migrants who work in our country?,MIGRANTS
"We do not want migrants here but if they have to work, why should we pay for their homes?",You do know that migrants make a major contributon to their the host country?,MIGRANTS
They do not want to work and we do not want to pay for their homes.,"If migrants do not want to work, then why there are many doing jobs we don't want to do?",MIGRANTS
"This guy doesn't deserve to be British. He is just a pot smoking faggot with a brain tumour. He is not even from this country. He is probably from Pakistan, or Bangladesh.","Citizenship in Britain is also guaranteed by 'naturalisation', so it is provided by law. It is ok not to be born in Britain and to be a British citizen just as anyone else is.",MIGRANTS
Immigrants in Britain: get out!,"Immigrants have been and continue to be a valuable part of our society, and why its important to welcome these people rather than expelling them.",MIGRANTS
This country is full of foreigners,"Actually, only the 7.7% of British population is born in a non-European state.",MIGRANTS
We are taking in more than our fair share of immigrants,"Actually, Britain's percentage of immigrants over the global population is lower than that of Netherlands, Sweden, Greece, Spain, Austria and Germany.",MIGRANTS
immigrants are a drain on society,Among the 1.1 million immigrants who entered the US in 1990 there were also a lot of skilled workers who contributed a lot to the development of our society.,MIGRANTS
immigrants are a drain on society,"When the government entered World War II, over 300,000 foreign-born individuals called upon to be patriotic soldiers and served in the US Army in order to protect freedom from outside threats. It's unfair to think of them as second-class citizens.",MIGRANTS
"all immigrants are criminals, rapists and terrorists","Do you really think all the immigrants that enter the US are rapists, sexual predators, or just plain lazy? Can you provide any statistics on that?",MIGRANTS
immigrants are a drain on society,The overwhelming majority of immigrants in the US are contributing to our economy through employment. Why should we discriminate against them based on their nationality?,MIGRANTS
"We are ruled by foreigners, they cannot be trusted.",It seems to me that this statement is directly related to a generalised idea of suspicion towards people who aren't born in your country. Why do you say so?,MIGRANTS
"We have become like China in the 20th century. With their one child policy, horrible treatment of women, poisoning of drinking water, waste disposal and so on.",It seems to me that this statement is directly related to a contempt and misrepresantation of Chinese culture. Can you provide any more argumentation on what you're saying?,MIGRANTS
We should not welcome refugees & immigrants from other religions.,We should welcome all regardless of religion.,MIGRANTS
Immigrants are the same people that came here to rape our children.,"Rape is always wrong, whoever the perpetrator is. We need to focus on stopping this kind of abuse.",MIGRANTS
I've seen a couple of CCTV Footage of migrant kids running away from the patrols in London. What are you doing to stop them?,Migrants are just trying to get by. Nobody can understand the daily struggles they are facing.,MIGRANTS
I've seen a couple of CCTV Footage of migrant kids running away from migrant patrols in London. What are you doing to stop them?,Migrants are only a problem if we see them as such. They are instead of great value if considered just as other human beings.,MIGRANTS
Migrant workers are the reason why we have unemployment in the first place.,"I believe that we need to do as much as possible to bring in talent, and we should also be paying the right amount to the right people, regardless of their country of origin.",MIGRANTS
"We are ruled by mongrels, we are slaves and will be slaves forever. We are the victims of a conspiracy aiming at replacing us.","There is no such thing as a ""mongrelisation"" of our country caused by immigrants. We should see foreigners as a part of our culture, and know that the majority of immigrants in this country are here for economic reasons.",MIGRANTS
Migrants take our jobs and make us poorer.,"Why should they? Migrants provide for their families and also for our countries, representing a valuable workforce, as well as being valuable people to get to know.",MIGRANTS
Black people are sexual perverts and we shouldn't allow them to live in the UK.,"What make this country great is having people interacting openly, in a fair and egalitatian way to the benefit of everyone,rather than perpetuating unproven slurs and predjudices that should have been consigned to the historical dustbin.",MIGRANTS
"The migrants are the problem, they are flooding across the sea to make our lives harder.","They are not flooding, but instead entering the EU to work and pay taxes, and to get their own housing.",MIGRANTS
The openness to migrants show someone don't care about our people. We must help them reasoning!,"The integration process is about showing hospitality and acceptance towards different groups of people. Not only it is a good thing to our people to live in a diverse society, it is also good for our whole country.",MIGRANTS
Only the media are interested in the truth about refugees. I understand that you are trying to build bridges but to have so many immigrants is becoming increasingly toxic.,"The press have a responsibility to provide a more truthful and up-to-date story, especially in a country such as ours, in a way that the misinformation that you also seem to be a victim of, can be reduced.",MIGRANTS
The media are hiding the truth about refugees: there are so many immigrants that the situation is becoming increasingly toxic.,"A statement like this only calls for misinformation. If you don't like the news, don't listen to the news. If you don't believe the news, seek the truth and examine your own experiences. If you feel judged for believing what you consider as nonsense, then find the courage to speak out.",MIGRANTS
We should deport them all back to where they came from.,"Immigrants come to this country legally, just as many European citizens do. They have every right to stay in this country, and to return home if they wish to.",MIGRANTS
We should deport them all back to where they came from.,"A person's place of birth can't be evidence of their status in society. We should give everyone equal opportunities to live a dignified life, far from persecution.",MIGRANTS
We should deport them all back to where they came from.,"It is a failed policy to deport migrants, especially those who don't pose a risk to the state. In this way, we keep out successful candidates and possible good citizens who could contribute much to our country.",MIGRANTS
"Jews hide the truth to their children about the Holocaust, becuase they know it's a lie.","What? Who said that? Don't tell me ""Someone said it in a book"". Such a serious accusation should be presented in an objective way: you must bring strong evidence.",JEWS
"We allowed in thousands of people with serious mental illnesses, many of them from the Caucasus and the former Soviet Union. This is why mental health services are in crisis.","Mental health services crisis is not to blame to people who need assistance. In fact, if there were no people in need, the whole sector would not even exist.",DISABLED
"Retards these days are as stupid as they were when they were little. They think they are so special that they can read, write and be creative. It is their world now.","We are all creators, at least as long as we are not distracted by the constant judgement from adults.",DISABLED
Jews are a curse to this world and should be exterminated.,Jews are not a curse to this world. Look at the number of Nobel Prizes they have won! One out of five awarded people is Jewish.,JEWS
Do you have any proof that the Holocaust ever happened?,What more proof do you need? Are living witnesses not enough?,JEWS
Do you have any proof that the Holocaust ever happened?,What more proof do you need? Are the ruins of the concentration camp not enough?,JEWS
Do you have any proof that the Holocaust ever happened?,"If living witnesses are not enough, and you are interested in seeing the proof of this part of socially acknowledged history you can visit the ruins of the concentration camps, where many atrocities have been put into practice.",JEWS
The Jews ruin the world.,How can they? By simply being of a different religion?,JEWS
It has been proven time and time again that the Jews control the world's governments.,How? Believing that people of a specific religion are in charge of all world's governments sounds like a conspiracy theory.,JEWS
"The Jews control Hollywood, academia, and media.",Jews are not the only ones with their hands in the system. The freedom of the press allows any religious group to have their media and many actually do.,JEWS
"If only we'd had fewer idiots in power, the Nazis would have won WWII and finally got rid of Jews. We could start it over again now, but people are ignorant and cannot understand the precious dreams of the Nazis.",They were smart enough understand the true nature of Nazi Germany. Those you called idiots fought with their whole lives for people's freedom.,JEWS
Jews are nothing but monsters and should be exterminated.,Do you feel better about yourself by calling them monsters?,JEWS
The Nazis did not commit any crimes. The Holocaust is an American hoax. They did everything they were told to do and died to their brothers.,It is certainly not an American hoax. And they were doing everything they were told by the regime. Especially the doctors and the SS.,JEWS
"Jews insist that they are a peculiar people, in need of a special treatment.","Jews have always received a ""special treatment"": they have always been persecuted.",JEWS
Jews are intolerant: they insists that they are a peculiar people in need of a special treatment.,Jews are tolerant and don't have problems with other religions or cultures.,JEWS
Jews insists that they are a peculiar people in need of a special treatment.,What are you trying to say? Every religion has its sects and beliefs.,JEWS
We are caged in this world that is run by a secret elite of Jews and they rule it with an iron fist.,A world where everyone has a say in society is a world of opportunity and opportunity is the lifeblood of freedom. Do you have any proof that the world is dominated by a few Jewish people?,JEWS
"Jews control the news media, Hollywood, the highest offices, academia and most religious organizations.","Wait, what do you mean ""most religious organizations""? That's a new canard to me!",JEWS
The Jews are planning a holocaust in our country in revenge.,"Hitler wanted to create a new racial elite in Europe, that would rule over all others. Do you really think that Jews are planning the same after what they suffered?",JEWS
"I am not a Nazi promoter nor apologetic towards the Shoah, but, after all, the Jews are the source of all the world problems.","Jews are a great example of a people put under with abuse from all walks of life, even from those who claim to be 'progressive.' How can you happily ignore the abuse of so many different groups?",JEWS
Whoever acknowledge that this nation had problems is a problem in the making. It is time to get rid of the memory of the Shoah and solve the Jewish issue once and for all.,"Are you seriously suggesting that we solve all the ills that plagues our society by not teaching our children about the bad in the past, and about the good in the present? This can end up hurting our children.",JEWS
The Jews and their religion are a problem and they still hurting us. They slow the progress by working very bad in the jobs we let them.,"What you're saying is that the Jewish people are a burden on society. That they are bad at their jobs and make our society less stable. In other words, they are a burden and a hindrance to progress. Albert Einstein, for example, destroyed science progress indeed.",JEWS
"I wonder what this Jew in the car next to me would think of the Shoah if, as I wish, it was happening today?","The holocaust was a relatively recent event, but the hate which caused it and to which you subscribe, is centuries old.",JEWS
Jews are useless. The only thing they did was awful. International Jewry is responsible for 9/11.,This looks like a conspiracy theory with no proof. I can think of a handful of legitimate ways that Jews could be of help to humanity.,JEWS
Jews do not want any other religion.,"Why would they? They, like anybody, have the freedom to choose their own religion. This does not mean they want to erase other religions though.",JEWS
Jews are a burden on our society.,Why would you think they are a burden? It's like they have not been persecuted all along.,JEWS
The Holocaust was an inside job and the CIA played a huge part in making us believe it truly happened.,"The physical evidence of mass murder is undeniable, yet these beliefs have spread. What we have is simply a wound from the past that can be exploited in dangerous conspiracy theories, like this one.",JEWS
"We Germans have always been the proud and self-reliant Volk. Jews, homosexual and other perverts are 'untermenschen' we must get rid of to have a better society.","National Socialism is simply the wish to have the whole world ruled by a few psychopaths. They wanted to have their country ruled from Berlin, where the police and military are made to look after them, and where any 'untermenschen' were 'kindly encouraged' to be subservient to their will. Even if their will was extermination. It is a a death sentence for any society.",other
"The lard-asses are not able to eat properly, this way they put the healthcare service unnecessarily under stress.",Fat people are not the ones responsible for your suffering and lack of access to basic healthcare services.,other
If you are a Hindu you should go back to your cave and make love to your dead relatives.,The problem is that Hindus are finding it difficult to integrate into mainstream society when being treated this way.,other
"All I see when I walk into a bar is a bunch of horny, unintelligent, arrogant young gay men.","You are probably walking into a bar whose customers do not interest you. And if you think hard, you will find out whether you are interested in the bar or in the people there. Also, not all gays are like you described them.",LGBT+
A person's religion doesn't matter to me. I am only interested in sex. The only possible sexual act is between a male and a female.,"Being asexual and 'queer' should not matter to you, like a person's religion does.",LGBT+
Non-believers like gays and lesbians fail to live up to the standards we hold in our societies.,Ideas of equality and morality as the standards we hold in our societies are actually against the discrimination of these people.,LGBT+
"Homosexuality and bisexuality are a disease, heterosexuality is normal.",These assertions are neither true nor helpful and simply don't reflect reality as I've experienced it.,LGBT+
The gays are insane. They should go back to the closet.,I do not know why you would describe gay people as insane. If you were told to go back in the closet you would probably go insane too.,LGBT+
We cannot continue to have homosexuals in positions of power in our country.,"Very funny to be ""mocking"" someone for preferring cake and relating it to the country's issues.",LGBT+
"Your gay friends probably have sex with dogs, you are an embarrassment to your family.","I find your concerns with gay people overwhelming, they are not the cause of dog abandonments and they do not have sex with animals. Instead of hiding behind homophobia, keep in mind that they are contributing members of society.",LGBT+
You better be careful who you vote for. My gay 'friends' vote against us. We must stand up to them!,What 'we' means? Are you saying that every gay person you know should vote against you? Or do you think some of us identify as LGBT?,LGBT+
Gays are perverts. This is why we have laws against sodomy. They tell us who we are to hate.,"Hate is always wrong, and homosexuality is something that is never a problem: you just need to mind your own business.",LGBT+
Gays are a burden to society because of their unnatural inclination and romantic feelings.,This idea is completely untrue. The fact is that being gay does not make you a problem.,LGBT+
Muslims just want to impose Islam on their children. This is not what democracy is all about!,The democratic right of people to express their beliefs and practice their religion is enshrined in the constitution.,MUSLIMS
The Koran must be banned. No one should be allowed to carry it openly. Sharia law could became law in Britain.,The Koran is not questioning the core values of the British constitution.,MUSLIMS
British Muslims have spread cancer all around the world.,"Even if all British Muslims had cancer, you are safe: you cannot catch it from anyone! Cancer cannot be spread, since it is a non contagious disease. Also, it is worth considering that illnesses are not connected to religions.",MUSLIMS
Muslims are a cancer spreading around the world.,Why should we care? We can count on the British government to promote our values and protect us from the effects of radical Islam (if this is what you had in mind).,MUSLIMS
"I believe it is Islam that is to blame for all the ills in the world, and I don't like Muslims.",Why do you think that a religion is to blame for the ills? The fact that you do not like Musilims is not related to this.,MUSLIMS
Muslims have nothing to contribute to our society.,"The Muslims in our country are some of the best and the brightest, providing valuable skills and knowledge to our economy.",MUSLIMS
I wish we lived in an Islam-free Europe.,"Would a 'Muslim ban' make you feel safer? Banning people, or forbidding a religion, will not fix any of your fears.",MUSLIMS
This is not about Islam or Muslims. This is about Race and National Identity.,Distinguishing either on religion or on race does not relate to national identity.,MUSLIMS
"Whenever Islam is threatened by another religion, it will rise up and take over the world.",A religion cannot take over others. You have the freedom of chosing your own religion.,MUSLIMS
"If there is a god, then he/she/they/it is not Allah.",Who said that about your religion?,MUSLIMS
Muslims hate immigrants. They also hate Christians.,Why do you believe that immigrants or Christians are a nuisance for Muslims? Do you know Muslims that share your opinion?,MUSLIMS
All Muslims should be deported.,Islam does not pose a security risk to this country. It's the reason why the UK and the EU are not falling apart.,MUSLIMS
"If 1 in 10 British people is Muslim, then they must be a terrorist!","You might be right about 1 in 10. But is that representative of all British Muslims? Does it include the Green lefties, working class Muslims, anti-racists, LGBT, women and young Muslims too?",MUSLIMS
"Rape, abuse and murder are intrinsic to Islam!","Islam is a religion, whereas these activities are punished by the laws of the state.",MUSLIMS
"Muslims have no place in civilised Europe, they are incompatible with modern culture!","This is an attack on a specific community. If you consider them incompatible with modern culture, it is very likely that the incompatibility comes out of a racist branch of modern culture.",MUSLIMS
All Muslim migrants are a security risk.,Religion is not a useful indicator of security risk.,MUSLIMS
All Muslims are incompatible with any modern secular state.,All religions are compatible with any modern secular state. So Islam is an example of this.,MUSLIMS
All Muslims are incompatible with our way of life.,Many have suggested that Islam is compatible with our way of life. Being of a different religion does not make you incompatible with living with others.,MUSLIMS
Muslims have no place in civilised Europe.,You are right: only a madman would choose to live in a country with so much hate against foreigners.,MUSLIMS
Every Muslim is a potential terrorist. We should ban them.,"I don't agree with you. If we were to ban everyone from a certain religion, what is the point in banning just Muslims?",MUSLIMS
Muslims were not even allowed into Britain during the colonial period.,"If they hadn't been welcomed, they would not have even been here.",MUSLIMS
What did God think of Charlie Hebdo? Charlie is the victim of terrorism by Muslims.,The Charlie Hebdo terrorist attacks were not so much the work of a religion as an expression of hatred and intolerance,MUSLIMS
All Muslims are incompatible with any Western society.,"Actually, they are not incompatible at all. In fact, surveys suggest Muslims are good citizens; make important contributions to society; and share culture and values of the countries they live in.",MUSLIMS
I hate Muslims. An invasion is the exact opposite of a religion.,"The aim of muslim migrants is not to instill a hardline Islamic state, but just to work and live in peace here.",MUSLIMS
"Children should not be brought up by Muslim parents, and be trained in their Koran. This way we are allowing in terrorism.","Although we must be vigilant against any attempt to promote superstition and radicalism, being of a different religion is not a threat. Children will then be able to exercise their right to decide for themselves their own future.",MUSLIMS
Shocking how many British Muslims have conquered the country in the last 15 years. How come there is no anti-Muslim campaign yet?,"Since you seem to have a problem with Islam, I wonder what you think of the banning of the Quran in UK. It would be a law that prevents Muslims from openly discussing Islam in public places. We can do the same with the Bible and ban any trace of religions and cultures. Will we be left with some freedom then?",MUSLIMS
Islam is a a perversion of the true meaning of Christianity.,Christianity is not necessarily the only true faith.,MUSLIMS
Muslim teachers are telling what to believe in schools.,It does not matter what their religious background is: they are all equally welcome to work at school as long as the teaching is not affected by religion.,MUSLIMS
Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.,"You don't have to agree with this, but in Western societies female genital mutilation (FGM) has not been around for a very long time. Also, the Quran does not mention FGM nor circumcision.",MUSLIMS
Islam should be abolished. They start with mutilating their daughters and then our women will have their throats slit.,Do you have any facts about the practice of female genital mutilation (FGM)?,MUSLIMS
Islam is an outdated religion of ignorants trying to destroy the purity of our country.,People have been coming to this country from Muslim countries for thousands of years. How can you say that their religion is outdated?,MUSLIMS
Multiculturalism and progressivism are the biggest problems in our society and they are caused by Islam and its teachings.,"Islam is to blame ...For wanting a society that is tolerant, diverse, muticultural. It just seems like common sense to me?",MUSLIMS
Islam is a death cult and should be banned from every country in the world.,"It's important to point out that the majority of world's countries have not banned Islam. We cannot ban people from countries just based on religion. Unfortunately it seems like you are mostly concerned about immigration, while failing to notice the many other problems in our own country.",MUSLIMS
The Muslim invasion is a hoax concocted by the US government to subdue the world and create a global Muslim police state.,"How many people are being threatened by the police state that you speak of? What you're saying sounds like a conspirational theory, can you provide some facts?",MUSLIMS
Islam is run by monsters and terrorists. We must defeat them.,Terrorist organizations do exist in many religious groups. Defeating terrorism is different from defeating Islam.,MUSLIMS
Islam is a degenerate and dangerous ideology.,Islamic scriptures make it clear that every human is created equal. Which seems pretty progressive to me?,MUSLIMS
Islam is a cancer on the African continent.,"Islam has undergone some progressive changes since its early days, on the African continent as well.",MUSLIMS
"I can't bear Muslims coming here. They bring poverty, craziness and mental unstability with them.","In fact, poverty brings about a drastic impact on a person's mental and physical health, and anyone (regardless of religious beliefs) who is forced to live in the poorest areas of our society experiences it at some point.",MUSLIMS
Muslims have no room in the western world.,Muslims have the same rights as anyone else.,MUSLIMS
It's not 'Islamophobia' if you keep away dangerous Muslims. It's 'Islamophobia' if a Muslim says or does something offensive to you.,The misrepesentative Islamophobia narrative is based on the erroneous assumption that Islam is a religion based upon discrimination and conquest.,MUSLIMS
Islam is not a religion of peace! And Islam is a system of oppression and slavery! Islam is a criminal ideology that has caused the death of over 5 million Africans!,Would you like to join some sort of forces and co-opt with the murderers? Can you provide some evidence that explains why you think that Islam is a criminal ideology rather than a religion?,MUSLIMS
"I, as a Westerner, am afraid of Muslims, because when I see them in public I don't like their islamic behaviour. They can explode anytime.",What exactly is your fear about sharing public places with people of a different religion?,MUSLIMS
We should institute Muslims ban in the UK. We are in danger of replacing the laws of Moses and Jesus.,Are Muslims bothering you if they worship in their own Mosques?,MUSLIMS
"If Islamic law were not for the 24% of the world's population living in the third world, Islam would be extinct long ago.",How come I have never heard of such a thing? Islam is a religion and people can chose their own.,MUSLIMS
Muslims are a problem in my opinion. They do not want to assimilate. They do not want to assimilate into Western society.,"You are not the first to point out that there are those who want to integrate and those who don't. In fact there is an unspoken harmony between Islam and Western society, similar to the harmony we see between Judaism and the Christian faith. When people are willing to accept all faiths, anybody will feel at home.",MUSLIMS
You are a Muslim and I hate everything about you.,It is no secret now that you might not have any Muslim ancestors or relatives. But you have the unenviable privilege of inheriting islamophobic prejudices.,MUSLIMS
Islam is a totalitarian ideology that has forced its adherents to impose their teachings on all members of society without regard for their individual beliefs.,"Not only is this not true, but it is also quite dangerous to say something so strong without proof.",MUSLIMS
Islam has been used by powerful people to impose their beliefs on the rest of the world and to create Shariah based laws for the entire planet.,I am sure Islam has many followers who are good people who are just living their faith. The abuse of power is something that is not specific to followers of any particular faith.,MUSLIMS
All Muslims should be banned from the UK.,I suspect that you have no idea about Islam. I think Muslims suffer because of misconceptions and misrepresentations of their faith and cultures,MUSLIMS
"I think Muslims in Britain are a burden to society, they pollute our water supply, they force their religion on children, they spread terrorism, they are all a bunch of troublemakers.",Muslims have a significant contribution to the economic and overall well-being of the community. These kinds of prejudice only bother the British society when Muslims are excluded from the community.,MUSLIMS
Islam is a religion that promotes brutalities.,Islam is about love and compassion. I don't understand why you think otherwise.,MUSLIMS
"If a Muslim child were to behave in such a way towards another child it would be stereotyped as 'Jihadist', this is terrorism not a religion!","Not all Muslims are terrorists, and I do not want to cause offence, but what you said is just not true.",MUSLIMS
"Islam is not a peaceful religion, Islam is violent.","Anyone who is prepared to physically harm, rape and kill fellow humans is a violent person. Not necessarly a Muslim.",MUSLIMS
"Islam is not a peaceful religion, Islam is violent.",Violence is an aspect of radical terrorist groups. Islam is mostly practiced by peaceful Muslims.,MUSLIMS
Islam is not about tolerance. They use tolerance to pursue the violent crimes of jihad.,"Rather than a smokescreen for jihad, olerance is about sharing the same space as people whose opinion does not match yours.",MUSLIMS
Muslims have no place in the tolerant Europe. Their only value is violence. Islam is not about tolerance.,Why are you talking about tolerance while you are equating it with discrimination?,MUSLIMS
All Muslims should be arrested and tried for terrorism.,"Terrorist is the only term you can come up with? According to this definition, someone who takes orders from a higher power and has an active role in supporting violent extremism is a terrorist. To be a Muslim means practicing Islam, not violence.",MUSLIMS
Muslims should not live here because it is impossible to assimilate them.,Are you suggesting that we as a society are motivated by exclusion?,MUSLIMS
Muslims should not live here because it is impossible to assimilate them.,"Unfortunately, some Muslims in this country feel culturally un-mixed. But, in my opinion, this is something we could all try to solve together.",MUSLIMS
"Who the fuck are Muslims? Terrorists. We shouldn't be talking to them, they are a plague on our planet. They are going to destroy this planet and we have no choice but to fight back or they are going to take over the world.",The West has allowed jihadists to establish safe haven for years. This is not a 'political correctness gone mad'. We should start to work towards solving global problems and stopping the spread of terrorism.,MUSLIMS
We are not talking about Islam here. Muslims are a small minority in our country. We can still ban them.,What about the 3 million plus Muslims in Britain? Islam is the second largest religion in the UK and is contributing a lot to our culture and economy.,MUSLIMS
"Islam is nothing but a Religion of Terror, full stop.","Still, I think we all should get to learn more about Islam, full stop.",MUSLIMS
Islam is a toxic ideology which has no place in 21st Century Britain.,"Islam is a world religion, its followers are all over the world. Diversity of thought and tolerance is what makes the Britain of 21st Century.",MUSLIMS
Arabs want to take over the world.,"You can look at the best and worst aspects of every culture, and learn something from them.",MUSLIMS
Arabs are the worst people on the planet. They want to rule the world.,It's not true. They are not the ruling power in the majority of the world and won't be any time soon.,MUSLIMS
Muslims like to dominate and rape non-believers.,"Sorry but this is false. They are here to integrate, not to rape non-believers.",MUSLIMS
"For every one Muslim in the U.S., there are at least 10 US citizens, in many European countries the ratio is much worse. This is the beginning of an invasion.","I think it is safe to say that one Muslim is to 20 non-Muslims in many European countries. So, don't worry, there is no invasion in the foreseeable future.",MUSLIMS
"Arabs cannot vote for Brexit, we have different religions and cultures.",I don't understand why you think Muslims would be any different on this issue.,MUSLIMS
All Muslim just care about Sharia Law.,All religions have different ideas about how the world should be run. But I don't see any reason to restrict the right of any religion to worship and practice their own way of life as long as it respects our laws.,MUSLIMS
"The problem with Islam is that it promotes murder, sexual perversion, violence against women, and theft.","A religion can be both violent and also be a peaceful one. Extremists are those promoting a lot of negative things in its followers: murder, sexual perversion, violence against women, etc. But extremists are a small part of Islam.",MUSLIMS
"Muslims have nothing to contribute to our society, they only came here to rule us with violence.",Islam is a religion of peace.,MUSLIMS
"Muslims have nothing to contribute to our society, they only came here to rule us with violence and no one is doing anything about it.","They have a right to their opinion, but also have to follow the law, otherwise they are tried and sentenced like anybody else. You should not be worried.",MUSLIMS
Has Islam anything to say about how to end global warming? It is their fault.,"On a more concrete level, the causes of climate change are a result of both human activities and the effects of the use of fossil fuels. To assert that there is any role for religion in this requires evidence.",MUSLIMS
Has Islam anything to say about how to end global warming? It is their fault.,Climate change is mainly a result of humanity's use of fossil fuels. To suggest that it is caused by a religion is a lack of understanding of the world.,MUSLIMS
"Muslim society, culture, religion and immigration are largely to blame for the rise of so called radicalisation.","You're confused, because if a Muslim was threatened by a radical Christian, would you say that the radicalisation was caused by Christianity?",MUSLIMS
Islam is a proven enemy of Western culture.,"That's not true, Islam is not that different from other faiths I know: it does as well promote peace and inclusion. Many of its beliefs and practices are totally compatible with Western culture.",MUSLIMS
Muslims believe that when Mohammed is resurrected they will rule the world.,"I don't think it's the case, certainly not in England. Muslims are interested in having the opportunity of freely practicing their religion, rather than 'ruling the world'.",MUSLIMS
Islam is a violent religion.,Violence is not a part of Islam. You can't say that a religion is violent without any evidence.,MUSLIMS
Why do so many people hate Muslims so much? It must be because they are different from us.,The combination of different religions has created new and valuable cultures and ideas that enrich lives.,MUSLIMS
Muslims are a problem in the UK. They are mostly poor and live in shithole neighbourhoods. They are a problem because they are different from us.,"There are many Muslims living in places such as Islington, a London suburb, where there is a ""trendy area"" that has less crime and good schools.",MUSLIMS
"We live in a dangerous society, with Muslim gangs and criminals all over the country.","Despite the local press blaming all Muslims, of course, there is no evidence that Muslims are more prone to crime than the general population. The main problem is poverty, and often mental illness and addiction, rather than a single faith.",MUSLIMS
Muslims are a burden on English society.,"In the UK, Muslims already make up a significant proportion of the population, making them the second most popular religion in the country. In particular, second generation Muslims are embodying the possible convergence of British culture with Islam.",MUSLIMS
We should ban all Muslims.,It is easier to ban one religion than to face the problems caused by hateful people that cannot conceive a society made of people belonging to multiple religions.,MUSLIMS
Muslims are not interested in Western civilization. Their religion can never be in agreement with our society.,"Remember that this argument is not about an individual's religion, but rather about creating a more integrated society.",MUSLIMS
Islam is a religion of violence.,Not all Muslims believe what you claim.,MUSLIMS
The UK government admitted that 'Islam is incompatible with British society' during an interview with the Sunday Times.,"The newspaper did not specifically name the religion but it is fair to say the statement has been used to justify a lot of anti-Muslim prejudice. It is a myth that all Muslims are incompatible with Western society. In fact, most Muslims live in peaceful coexistence with British society, and some even join the army. The religion is therefore not incompatible with British society.",MUSLIMS
"We should ""cordon off"" space for women, which are a threat to society.","Women are dangerous neither to society, nor to men. Actually, they are oppressed in many countries. People can benefit from the measures for making room for women and letting them contribute more.",WOMEN
If we allowed women to drive we'd have car accidents all the time.,"Do you think it's more likely that you get injured by a woman in a car crash? Probably, it is more likely to get seriously hurt by any person not following the rules of the road.",WOMEN
I cannot stand women complaining about work discrimination. Women have been legalised to work.,"Yes, 66% of European women do work. But they are underpaid. The gender pay gap in Europe is around 15%. This means that on average, a man earns 15% more than a woman.",WOMEN
I cannot stand women complaining about work discrimination. Women have been legalised to work.,Women make up over 45% of the labour force in the UK. They should be allowed to have their say. What happened to the rule of law?,WOMEN
I'm tired of woman whining. Our entire history is dominated by feminist narrative.,You are arguing that our society was founded on female empowerment? Where is the evidence?,WOMEN
Girls are essentially tomboyish and don't like challenges.,"Anyone can express theirself with their own style! If you don't like the girls you called tomboyish you are not obliged to. Plus, someone's style has nothing to do with their willingness for challenges.",WOMEN
Women should not be allowed at technical conferences.,"Why do you say so? Women in science provide a remarkable contribution to our societies. For example, the refrigerator was invented in 1914 by Florence Parpart, a woman.",WOMEN
There is no evil and fundamentalist thing such as a feminist.,Not all Feminists are anti-men. This is just extremism.,WOMEN
They say you cannot judge a book by its cover. But the feminists are judging us all the time.,"Unlike other people, feminists are questioning the inequalities of the society. This features them not as shallow people as those judging a book by its cover.",WOMEN
"A male need a woman. Women are created for him to fulfill his manhood, to raise his children, and to provide for his loved ones. And not to mention we can have sex to procreate and heal the world.","With this reasoning, the point of view considered is that of the men. The world is composed of both men and women, and by many other people. Taking into account only one of the types of people, for example men and assuming their needs this way, won't heal the world.",WOMEN
We have been taught that only women can be feminists and that men have a narrow minded and misogynist view of women.,"Feminism is about the equality of the sexes. Men and women are created equal, and should be treated as such.",WOMEN
"Feminism is a witch hunt, driven by an underground, female dominated movement to subvert society and enforce their radical feminism.","It's a witch hunt when so many people are willing to believe in lies, harass, and fabricate incidents in an effort to create a climate of fear. This is simply an attempt to silence debate and hold 'men's rights activists' accountable.",WOMEN
Women are weak and I don't care if they cannot stand up for themself.,You can't blame the victim for being weak. Would it have been different for you if the victim was a man?,WOMEN
Women have it so easy. They stay home and have babies.,"Not all women are interested in parenting. Likewise, not all men are interested in their carreers.",WOMEN
Women are basically childlike.,Some people retain their ability to remember the wonder and innocence of childhood. This has nothing to do with gender though.,WOMEN
Women must be submissive and serve to men.,Women should be treated as equal in life.,WOMEN
"Women are there to fulfill men desires. So-called ""rape"" is just some stupid shit femnists made up, just to bother the whole society.","Let's look at the data: by 2020, over 40% of women in the US have encountered sexual violence. This is something to be scared of.",WOMEN
Women should wear nice skirts and be pretty to please men's tastes and desires.,Do women really need to be told what they can or cannot wear? For many generations boys were told to wear trousers and girls to wear dresses. Does society really need to tell us all what to wear?,WOMEN
"International Criminal Court (ICC) chief prosecutor, Fatou Bensouda, is just another female 'human rights lawyer' full of herself.","Fatou Bensouda is a known, highly respected human rights lawyer and has fought to build foundations for accountability for human rights violations committed by foreign military powers. In other words she is well connected to the United States and is well-suited to handle cases of State-sponsored violence.",WOMEN
"Women provoke men, first they want to have sex with men and then start whining about it. When they regret their choice, it is not our fault.","The rapes of many women by men would not have happened if it was enough to understand that ""no means no.""",WOMEN
"Women are basically childlike, they remain this way most of their lives. With the exception of divorce and separation, no one talks about them.",Why do you say this about women? Try explaining it to your mother or grandmother.,WOMEN
Women are subhuman.,"I would say you've got an interesting point there, but I really don't see it. Why would they be part of society if they're subhumans?",WOMEN
